source_log,dataset,config_index,size,throughput,avg_acceptance_len,elapsed_time,draft,verify,depth,kv,launch,fixed
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_2.out,alpaca,22,100,47.1,3.86,0.08195329087048832,100.0,101.0,8.0,3.86,10.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,1,10,40.7,2.94,0.07223587223587223,10.0,11.0,1.0,2.94,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,2,30,48.0,3.57,0.074375,30.0,31.0,1.0,3.57,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,3,60,50.0,3.88,0.0776,60.0,61.0,1.0,3.88,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,4,100,48.5,4.09,0.0843298969072165,100.0,101.0,1.0,4.09,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,5,160,38.7,4.21,0.10878552971576226,160.0,161.0,1.0,4.21,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,6,220,33.9,4.27,0.12595870206489676,220.0,221.0,1.0,4.27,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,7,10,40.9,2.94,0.07188264058679707,10.0,11.0,3.0,2.94,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,8,30,47.5,3.54,0.07452631578947369,30.0,31.0,3.0,3.54,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,9,60,50.2,3.9,0.07768924302788845,60.0,61.0,3.0,3.9,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,10,100,48.3,4.07,0.08426501035196689,100.0,101.0,3.0,4.07,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,11,160,38.7,4.22,0.1090439276485788,160.0,161.0,3.0,4.22,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,12,220,34.2,4.32,0.12631578947368421,220.0,221.0,3.0,4.32,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,13,10,40.8,2.94,0.07205882352941177,10.0,11.0,5.0,2.94,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,14,30,47.7,3.55,0.07442348008385744,30.0,31.0,5.0,3.55,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,15,60,50.3,3.91,0.07773359840954275,60.0,61.0,5.0,3.91,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,16,100,49.3,4.16,0.08438133874239352,100.0,101.0,5.0,4.16,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,17,160,38.9,4.25,0.10925449871465295,160.0,161.0,5.0,4.25,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,18,220,34.7,4.39,0.1265129682997118,220.0,221.0,5.0,4.39,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,19,10,40.8,2.94,0.07205882352941177,10.0,11.0,8.0,2.94,10.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,20,30,47.6,3.55,0.07457983193277311,30.0,31.0,8.0,3.55,10.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,21,60,50.2,3.9,0.07768924302788845,60.0,61.0,8.0,3.9,10.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,1,10,39.5,2.8,0.07088607594936708,10.0,11.0,1.0,2.8,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,2,30,45.8,3.35,0.07314410480349345,30.0,31.0,1.0,3.35,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,3,60,47.6,3.62,0.07605042016806722,60.0,61.0,1.0,3.62,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,4,100,46.0,3.77,0.08195652173913044,100.0,101.0,1.0,3.77,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,5,160,36.9,3.91,0.10596205962059621,160.0,161.0,1.0,3.91,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,6,220,32.4,3.97,0.12253086419753087,220.0,221.0,1.0,3.97,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,7,10,39.6,2.82,0.0712121212121212,10.0,11.0,3.0,2.82,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,8,30,46.2,3.38,0.07316017316017315,30.0,31.0,3.0,3.38,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,9,60,47.8,3.64,0.07615062761506276,60.0,61.0,3.0,3.64,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,10,100,47.0,3.86,0.08212765957446808,100.0,101.0,3.0,3.86,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,11,160,37.1,3.95,0.10646900269541779,160.0,161.0,3.0,3.95,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,12,220,32.8,4.05,0.12347560975609756,220.0,221.0,3.0,4.05,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,13,10,39.9,2.83,0.07092731829573935,10.0,11.0,5.0,2.83,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,14,30,46.0,3.37,0.07326086956521739,30.0,31.0,5.0,3.37,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,15,60,48.0,3.66,0.07625,60.0,61.0,5.0,3.66,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,16,100,47.0,3.86,0.08212765957446808,100.0,101.0,5.0,3.86,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,17,160,37.5,3.99,0.10640000000000001,160.0,161.0,5.0,3.99,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,18,220,32.6,4.03,0.1236196319018405,220.0,221.0,5.0,4.03,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,19,10,39.8,2.83,0.07110552763819096,10.0,11.0,8.0,2.83,10.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,20,30,45.8,3.36,0.07336244541484717,30.0,31.0,8.0,3.36,10.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,21,60,47.8,3.65,0.07635983263598327,60.0,61.0,8.0,3.65,10.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_2.out,alpaca,22,100,47.0,3.86,0.08212765957446808,100.0,101.0,8.0,3.86,10.0,1.0
